ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Africa,Gambia,36.03,16.83,63.31
Africa,Sao Tome and Principe,36.08,17.66,63.5
Africa,Sao Tome and Principe,36.29,17.52,64.1
Africa,Guinea-Bissau,36.48,17.36,70.07
Africa,Guinea,36.51,18.83,66.74
Africa,Guinea-Bissau,36.53,17.96,68.76
Eastern Mediterranean,Iraq,36.55,28.74,47.17
Africa,Mali,36.61,15.03,79.95
Africa,Gambia,36.61,17.61,63.69
Africa,Mauritania,36.63,13.11,91.96
South-East Asia,Nepal,36.76,31.79,43.85
Europe,Armenia,36.79,27.21,53.07
Africa,Rwanda,37.01,12.47,75.34
Africa,Democratic Republic of the Congo,37.04,7.42,127.7
Eastern Mediterranean,Oman,37.13,21.31,61.81
Africa,Togo,37.25,21.56,60.42
Africa,Senegal,37.3,18.57,59.11
South-East Asia,Nepal,37.31,33.37,43.36
Africa,Sierra Leone,37.37,16.95,70.06
Eastern Mediterranean,Iraq,37.37,30.23,47.23
South-East Asia,Nepal,37.42,32.6,44.09
South-East Asia,Nepal,37.53,31.86,44.89
Africa,Cote d'Ivoire,37.72,21.26,66.38
Europe,Armenia,37.76,28.17,55.16
Europe,North Macedonia,37.78,35.42,40.36
Africa,Cote d'Ivoire,37.81,20.66,65.49
South-East Asia,Bangladesh,38.23,34.42,42.14
Eastern Mediterranean,Oman,38.27,21.34,65.09
Africa,Congo,38.29,5.42,165.2
Africa,Mali,38.31,14.6,83
Western Pacific,China,38.38,36.67,39.88
Africa,Uganda,38.47,25.06,52.69
Africa,Democratic Republic of the Congo,38.57,7.07,137.9
Africa,Guinea,38.63,22.43,75.02
Western Pacific,Mongolia,38.73,26.31,55.46
Eastern Mediterranean,Iraq,38.86,31.55,48.9
Africa,Sierra Leone,38.98,17.29,75.38
Europe,Kazakhstan,39.02,26.41,55.13
Africa,Senegal,39.11,21.46,60.63
Africa,Togo,39.32,24.05,60.68
Africa,Senegal,39.89,22.52,59.51
Eastern Mediterranean,Yemen,39.97,14.18,81.43
Europe,Finland,4.94,4.54,5.33
Europe,Kyrgyzstan,40.03,26.69,59.6
Europe,Armenia,40.09,30.01,57.94
Africa,Burkina Faso,40.12,16.89,85.22
Africa,Sierra Leone,40.25,17.95,77.68
Europe,Bosnia and Herzegovina,40.28,37.72,43.54
Africa,Mali,40.34,15.17,91.08
Africa,Gambia,40.5,20.98,68.77
Africa,Mauritania,40.53,16.4,101.2
Eastern Mediterranean,United Arab Emirates,40.56,34.63,49.79
Africa,Burkina Faso,40.62,15.86,90.41
Eastern Mediterranean,United Arab Emirates,40.63,33.96,50.22
Eastern Mediterranean,United Arab Emirates,40.72,33.25,50.92
Africa,Togo,40.86,25.89,63.85
Africa,Liberia,40.91,19.59,73.97
Eastern Mediterranean,Yemen,41.32,14.26,84.71
Europe,Kyrgyzstan,41.61,28.16,60.5
Eastern Mediterranean,Yemen,41.64,13.58,87.71
Africa,Chad,41.75,22.76,70.03
Western Pacific,Mongolia,41.75,29.69,55.72
Africa,Guinea-Bissau,41.92,19.16,83.83
Africa,Cote d'Ivoire,42.12,23.03,72.23
Europe,Kazakhstan,42.28,27.23,62.09
Europe,Armenia,42.29,31.9,59.51
Africa,Liberia,42.36,19.9,78.41
Europe,Uzbekistan,42.4,28.23,63.59
Eastern Mediterranean,Iraq,42.43,34.55,52.32
Eastern Mediterranean,Yemen,42.74,14.16,89.53
Africa,Burkina Faso,42.74,16.6,96.92
Africa,Gambia,42.75,23.26,73.52
South-East Asia,Bangladesh,42.85,38.13,47.94
Europe,Kyrgyzstan,43,30.93,57.75
Africa,Ghana,43.04,26.17,67.42
Eastern Mediterranean,United Arab Emirates,43.33,37.1,52.57
Africa,Guinea,43.4,22.73,79.79
Eastern Mediterranean,Yemen,43.41,14.61,91.66
Africa,Mauritania,43.42,18.14,95.8
Africa,Senegal,43.71,26.32,60.7
Europe,Kyrgyzstan,43.96,30.94,62.05
Africa,Sierra Leone,44.32,19.37,89.26
Africa,Chad,44.36,23.95,76.96
Eastern Mediterranean,United Arab Emirates,44.45,37.5,54.26
Africa,Guinea-Bissau,44.65,20.01,90.72
Africa,Gambia,44.81,24.95,79.65
Eastern Mediterranean,Iraq,44.91,36.91,55.38
Europe,Kyrgyzstan,45.38,28.43,69.57
Europe,Uzbekistan,45.48,32.02,67.59
Western Pacific,Mongolia,45.5,32.91,59
Africa,Ghana,45.72,28.85,70.9
Africa,Senegal,45.88,28.39,61.32
Eastern Mediterranean,Egypt,45.97,31.15,67.14
South-East Asia,Bangladesh,46.19,41.55,50.85
Africa,Guinea,46.29,24.11,81.91
Africa,Sierra Leone,46.51,20.22,96.08
Africa,Chad,46.6,25.17,87.53
South-East Asia,India,46.74,44.35,48.64
Western Pacific,China,46.9,44.96,48.35
Africa,Mali,47.01,16.19,105.2
South-East Asia,Bangladesh,47.04,42.36,51.88
Africa,Burkina Faso,47.93,16.59,120.1
South-East Asia,Democratic People's Republic of Korea,48.04,36.49,61.97
Western Pacific,China,48.07,46.55,49.58
Africa,Cote d'Ivoire,48.19,25.13,91.68
Europe,Uzbekistan,48.28,34.78,72.5
Africa,Ghana,48.44,31.47,74.38
Western Pacific,China,49.37,47.36,51.03
Europe,Uzbekistan,49.42,36.08,73.1
Europe,Sweden,5.28,4.94,5.59
Europe,Finland,5.37,5.06,5.69
Europe,Estonia,5.4,4.72,6.12
Americas,Bahamas,5.44,4.11,7.36
Western Pacific,Nauru,5.51,1.5,11.24
Europe,Iceland,5.53,4.8,6.23
Americas,Canada,5.62,5.42,5.84
Europe,Iceland,5.75,5.08,6.39
Americas,Bahamas,5.76,3.61,9.11
Americas,Bahamas,5.8,4.16,8.3
Americas,Bahamas,5.82,4.26,8.04
Europe,Norway,5.86,5.49,6.23
Europe,Estonia,5.9,5.21,6.51
Europe,Sweden,5.93,5.66,6.18
Europe,Finland,5.95,5.61,6.37
Eastern Mediterranean,Pakistan,50.19,40.74,64.63
South-East Asia,Bangladesh,50.23,44.98,55.75
South-East Asia,Democratic People's Republic of Korea,50.32,38.01,65.02
Africa,Mali,50.72,17,120.6
South-East Asia,Democratic People's Republic of Korea,50.76,38.41,65.78
Western Pacific,China,50.89,48.51,53.01
Africa,Niger,50.92,21.4,105.3
South-East Asia,India,50.98,48.27,53.11
South-East Asia,India,51.3,48.78,53.21
Europe,Uzbekistan,51.63,36.38,75.48
Eastern Mediterranean,Pakistan,51.98,42.55,62.74
Eastern Mediterranean,Pakistan,52.14,41.48,64.25
Africa,Niger,52.41,22.14,106.8
Africa,Mauritania,52.85,19.41,117.6
Africa,Ghana,52.87,35.89,81.32
Africa,Niger,53.06,21.45,107.4
South-East Asia,Democratic People's Republic of Korea,53.3,40.15,68.92
Africa,Burkina Faso,53.35,16.9,137.9
Eastern Mediterranean,Pakistan,53.6,44.46,63.09
Eastern Mediterranean,Bahrain,54.03,42.63,66.17
South-East Asia,India,54.17,51.65,56.49
Eastern Mediterranean,Bahrain,54.49,48.3,61.47
Eastern Mediterranean,Bahrain,54.72,48.32,60.98
Eastern Mediterranean,Bahrain,54.76,48.48,61.25
South-East Asia,Democratic People's Republic of Korea,55.05,40.84,71.13
Eastern Mediterranean,Afghanistan,55.08,39.01,75.78
Eastern Mediterranean,Pakistan,55.09,47.45,63.88
Africa,Nigeria,55.56,37.41,75.6
Africa,Cote d'Ivoire,55.61,26.67,111.5
Europe,Tajikistan,55.97,37.65,82.61
Western Pacific,Mongolia,56,40.54,70.28
Eastern Mediterranean,Kuwait,56.2,45.61,69.04
Africa,Mauritania,56.29,19.15,131.7
Eastern Mediterranean,Qatar,56.33,43.43,71.74
Africa,Nigeria,56.55,37.14,75.82
Africa,Cameroon,56.59,35.49,85.91
South-East Asia,India,56.81,54.27,59.12
Eastern Mediterranean,Saudi Arabia,57.25,39.93,76.1
Africa,Ghana,57.27,39.39,88.7
Africa,Nigeria,57.45,38.08,80.09
Eastern Mediterranean,Egypt,57.65,37.43,87.43
Africa,Niger,57.76,25.34,118.7
Eastern Mediterranean,Qatar,57.93,44.65,73.98
Africa,Nigeria,58.02,37.14,81.27
Africa,Chad,58.12,26.39,123.3
Eastern Mediterranean,Kuwait,58.43,48.59,74.48
Eastern Mediterranean,Saudi Arabia,58.47,41.37,77.1
Africa,Nigeria,58.56,38.7,88.18
Africa,Cameroon,59.3,39.59,85.72
Europe,Tajikistan,59.39,40.92,86.57
Eastern Mediterranean,Bahrain,59.58,38.26,87.15
Europe,Tajikistan,59.63,40.45,90.68
Europe,Sweden,6.01,5.74,6.3
Europe,Iceland,6.03,5.41,6.62
Europe,Estonia,6.08,5.3,6.72
Europe,Estonia,6.14,5.47,6.73
Western Pacific,Australia,6.16,5.71,6.73
Americas,Bahamas,6.17,4.24,9.07
Europe,Iceland,6.17,5.54,6.73
Europe,Finland,6.17,5.8,6.56
Europe,Estonia,6.2,5.68,6.82
Europe,Norway,6.36,5.99,6.69
Europe,Sweden,6.4,6.16,6.66
Europe,Finland,6.42,5.99,6.9
Europe,Iceland,6.53,5.89,7.21
Western Pacific,Niue,6.64,3.21,13.59
Western Pacific,Niue,6.64,3.21,13.59
Europe,Sweden,6.74,6.43,7.06
Americas,Canada,6.74,6.48,6.99
Western Pacific,Brunei Darussalam,6.82,5.71,8.12
Western Pacific,Tuvalu,6.85,2.56,13.58
Western Pacific,Tuvalu,6.85,2.56,13.58
Western Pacific,New Zealand,6.88,6.32,7.35
Western Pacific,Brunei Darussalam,6.89,5.79,8.28
Western Pacific,Australia,6.89,6.55,7.21
Americas,Canada,6.9,6.69,7.11
Americas,United States of America,6.96,6.85,7.09
Africa,Niger,61.68,27.24,131.8
Eastern Mediterranean,Afghanistan,61.78,44.81,85.24
Eastern Mediterranean,Egypt,62.05,39.89,90.79
Eastern Mediterranean,Afghanistan,62.66,45.03,86.93
Europe,Tajikistan,62.9,45.05,89.75
Eastern Mediterranean,Saudi Arabia,62.96,46.29,84.87
Eastern Mediterranean,Egypt,62.98,40.4,92.27
Eastern Mediterranean,Saudi Arabia,63.11,46.52,85.7
Eastern Mediterranean,Qatar,63.11,48.58,75.64
Eastern Mediterranean,Saudi Arabia,63.28,46.29,83.7
Africa,Cameroon,64,39.71,91.15
Africa,Cameroon,64.08,42.72,89.47
Eastern Mediterranean,Qatar,64.18,49.33,78.19
Africa,Cameroon,64.32,39.27,94.63
Western Pacific,Mongolia,65.06,47.42,82.57
Africa,Chad,65.15,24.97,146.4
Eastern Mediterranean,Qatar,65.3,50.26,80.42
Eastern Mediterranean,Egypt,65.55,41.45,93.98
Eastern Mediterranean,Kuwait,65.63,56.91,74.54
Eastern Mediterranean,Kuwait,68.89,59.59,79.71
Eastern Mediterranean,Kuwait,69.35,60.06,80.62
Europe,Tajikistan,69.42,50.64,95.66
Western Pacific,Marshall Islands,7.01,2.53,14.72
Western Pacific,Australia,7.01,6.65,7.4
Western Pacific,Australia,7.02,6.68,7.39
Western Pacific,Brunei Darussalam,7.03,5.93,8.41
Western Pacific,Australia,7.06,6.64,7.51
Western Pacific,New Zealand,7.08,6.52,7.62
Europe,Norway,7.08,6.68,7.42
Western Pacific,New Zealand,7.14,6.74,7.58
Western Pacific,Marshall Islands,7.15,2.62,14.81
Western Pacific,Kiribati,7.21,2.54,14.2
Western Pacific,New Zealand,7.21,6.73,7.67
Americas,Canada,7.24,7.02,7.45
Western Pacific,Tonga,7.26,3.98,12.32
Western Pacific,Fiji,7.31,4.05,12.04
Europe,Russian Federation,7.31,5.78,9.27
Europe,Norway,7.33,6.98,7.63
Western Pacific,Brunei Darussalam,7.36,5.93,9.06
Western Pacific,Tonga,7.38,4.06,12.42
Americas,Canada,7.4,7.15,7.61
Western Pacific,New Zealand,7.42,7.04,7.82
Europe,Ireland,7.44,6.82,8.05
Western Pacific,Nauru,7.45,2.61,13.38
Western Pacific,Nauru,7.45,2.61,13.38
Western Pacific,Nauru,7.45,2.61,13.38
Western Pacific,Samoa,7.45,2.63,16.62
Western Pacific,Fiji,7.45,4.21,12.4
Western Pacific,Palau,7.48,2.72,16.5
Western Pacific,Marshall Islands,7.48,2.83,15.04
Western Pacific,Marshall Islands,7.48,2.83,15.04
Western Pacific,Palau,7.5,2.72,16.53
Western Pacific,Micronesia (Federated States of),7.56,3.26,15.22
Western Pacific,Cook Islands,7.58,3.09,17.19
Western Pacific,Tonga,7.59,4.2,12.58
Western Pacific,Tonga,7.59,4.2,12.58
Western Pacific,Cook Islands,7.6,3.08,17.23
Western Pacific,Solomon Islands,7.61,2.6,13.6
Western Pacific,Palau,7.61,2.77,16.7
Western Pacific,Palau,7.61,2.77,16.7
Western Pacific,Micronesia (Federated States of),7.62,3.33,15.32
Western Pacific,Kiribati,7.63,2.74,15.17
Western Pacific,Brunei Darussalam,7.64,6.34,9.63
Europe,Norway,7.64,7.31,8.03
Western Pacific,Cook Islands,7.66,3.04,17.32
Western Pacific,Cook Islands,7.66,3.04,17.32
Western Pacific,Samoa,7.67,2.78,16.73
Americas,United States of America,7.78,7.65,7.9
Western Pacific,Solomon Islands,7.8,2.76,13.72
Americas,Dominican Republic,7.8,4.87,10.96
Western Pacific,Micronesia (Federated States of),7.91,3.67,15.95
Western Pacific,Micronesia (Federated States of),7.91,3.67,15.95
Western Pacific,Samoa,7.95,2.97,16.87
Western Pacific,Samoa,7.95,2.97,16.87
Americas,United States of America,7.96,7.84,8.09
Americas,Dominican Republic,7.98,4.95,11.35
Eastern Mediterranean,Afghanistan,74.91,53.88,103
Western Pacific,Kiribati,8.01,2.95,16.32
Western Pacific,Kiribati,8.01,2.95,16.32
Europe,Ireland,8.13,7.6,8.59
Europe,United Kingdom of Great Britain and Northern Ireland,8.18,7.77,8.73
Americas,United States of America,8.26,8.14,8.42
Western Pacific,Fiji,8.29,4.54,14.64
Western Pacific,Fiji,8.29,4.54,14.64
Americas,Dominican Republic,8.32,5.16,12.23
Western Pacific,Solomon Islands,8.36,2.94,14.62
Western Pacific,Vanuatu,8.38,2.65,18.67
Europe,Russian Federation,8.38,6.8,10.4
Americas,Saint Kitts and Nevis,8.5,6.42,11.7
Americas,Saint Kitts and Nevis,8.5,6.42,11.7
Americas,Dominican Republic,8.51,5.22,12.72
Americas,United States of America,8.51,8.36,8.68
Europe,Switzerland,8.57,8.27,8.96
Europe,Ireland,8.59,8.14,9.09
Europe,Ireland,8.61,8.15,9.01
Western Pacific,Vanuatu,8.62,2.84,18.56
Europe,Russian Federation,8.62,6.84,10.88
Europe,Ireland,8.64,7.94,9.34
Europe,Portugal,8.64,8.12,9.21
Europe,Andorra,8.66,7.15,10.49
Western Pacific,Solomon Islands,8.68,3.06,15.38
Americas,Dominican Republic,8.75,5.17,13.48
Western Pacific,Papua New Guinea,8.76,3.09,19.6
Western Pacific,Solomon Islands,8.77,3.09,15.57
Americas,Dominica,8.85,6.06,12.72
Western Pacific,Papua New Guinea,8.87,3.09,20.03
Americas,Saint Kitts and Nevis,8.97,6.97,12.47
Europe,Lithuania,8.97,7.93,10.02
Eastern Mediterranean,Afghanistan,83.49,60.22,114.9
Americas,Saint Kitts and Nevis,9,7,12.52
Americas,Uruguay,9.02,6.05,13.31
Europe,Portugal,9.04,8.7,9.35
Americas,Antigua and Barbuda,9.07,6.35,13.32
Europe,Malta,9.1,8.36,9.9
Europe,Denmark,9.11,8.04,10.5
Western Pacific,Vanuatu,9.15,3.39,18.31
Western Pacific,Vanuatu,9.15,3.39,18.31
Europe,Portugal,9.16,8.75,9.54
Europe,Spain,9.17,8.91,9.47
Europe,Latvia,9.19,8.03,10.59
Europe,Portugal,9.19,8.92,9.45
Europe,Portugal,9.22,8.87,9.5
Western Pacific,Papua New Guinea,9.23,3.11,21.81
Americas,Dominica,9.23,6.41,13.16
Americas,Uruguay,9.25,7.16,11.8
Americas,Antigua and Barbuda,9.27,6.49,13.63
Americas,Uruguay,9.27,6.94,12.02
Europe,United Kingdom of Great Britain and Northern Ireland,9.29,8.9,9.73
Europe,Russian Federation,9.3,7.59,11.6
Americas,Uruguay,9.31,7.03,11.91
Europe,Andorra,9.31,8.16,10.97
Europe,Luxembourg,9.36,8.51,10.17
Americas,Antigua and Barbuda,9.41,6.57,13.87
Americas,Antigua and Barbuda,9.41,6.57,13.87
Americas,Dominica,9.41,6.6,13.43
Americas,Dominica,9.41,6.6,13.43
Americas,Uruguay,9.41,6.74,13.11
Western Pacific,Papua New Guinea,9.53,3.07,23.15
Europe,Luxembourg,9.58,8.64,10.47
Europe,Russian Federation,9.59,7.98,11.94
Europe,France,9.61,9.34,9.81
Europe,Monaco,9.63,8.61,10.79
Europe,Monaco,9.63,8.61,10.79
Europe,Monaco,9.63,8.61,10.79
Europe,Andorra,9.69,8.6,11.12
Europe,Andorra,9.69,8.6,11.12
Western Pacific,Papua New Guinea,9.71,3.04,24.25
Europe,Switzerland,9.71,9.37,10.03
Africa,Mauritius,9.77,7.71,12.17
Europe,Luxembourg,9.84,9.27,10.42
Americas,Saint Vincent and the Grenadines,9.88,6.82,13.63
Europe,Switzerland,9.89,9.63,10.15
Europe,Denmark,9.9,8.8,11.19
Europe,Lithuania,9.91,8.93,10.96
Americas,Haiti,9.97,5.6,16.63
Europe,Denmark,9.97,9.07,11
Americas,Saint Lucia,9.98,7.28,13.7
Americas,Saint Lucia,9.98,7.28,13.7
Europe,Spain,9.99,9.73,10.26
Europe,Russian Federation,10,8.4,12.55
Europe,Spain,10.04,9.85,10.26
Americas,Saint Vincent and the Grenadines,10.05,6.83,14.5
Africa,Mauritius,10.14,8.05,12.59
Europe,Luxembourg,10.14,9.35,11.05
Americas,Saint Vincent and the Grenadines,10.16,6.88,14.72
Americas,Saint Vincent and the Grenadines,10.16,6.88,14.72
Europe,United Kingdom of Great Britain and Northern Ireland,10.19,9.84,10.48
Europe,Denmark,10.24,9.5,11.04
Europe,Lithuania,10.3,9.24,11.23
Europe,Switzerland,10.32,10.03,10.62
Europe,San Marino,10.33,8.59,12.08
Europe,San Marino,10.33,8.59,12.08
Europe,San Marino,10.33,8.59,12.08
Americas,Barbados,10.34,6.92,15.38
Americas,Grenada,10.34,7.63,13.52
Americas,Haiti,10.36,5.78,18.88
Americas,Barbados,10.38,7.02,15.4
Americas,Barbados,10.39,6.95,15.45
Americas,Barbados,10.4,6.94,15.49
Europe,United Kingdom of Great Britain and Northern Ireland,10.42,10.05,10.7
Americas,Haiti,10.47,5.78,19.01
Europe,Germany,10.48,10.27,10.69
Europe,Spain,10.51,10.29,10.72
Americas,Brazil,10.53,7.82,13.91
Americas,Grenada,10.59,7.76,13.73
Africa,Mauritius,10.67,8.27,13.52
Americas,Trinidad and Tobago,10.69,7.97,13.1
Americas,Grenada,10.73,7.83,13.93
Americas,Grenada,10.73,7.83,13.93
Africa,Mauritius,10.73,8.56,13.14
Europe,Netherlands (Kingdom of the),10.74,10.22,11.22
Africa,Mauritius,10.74,8.57,13.19
Europe,Denmark,10.81,10.27,11.62
Europe,United Kingdom of Great Britain and Northern Ireland,10.84,10.47,11.12
Europe,Belgium,10.85,10.28,11.44
Americas,Trinidad and Tobago,10.95,8.26,13.34
Americas,Guyana,10.96,6.11,18
Europe,France,10.97,10.74,11.19
Europe,Spain,10.98,10.74,11.19
Africa,Namibia,11.02,6.03,18.63
Europe,Austria,11.03,10.66,11.43
Europe,Switzerland,11.03,10.72,11.32
Americas,Belize,11.06,4.43,21.63
Americas,Brazil,11.06,8.95,13.67
Americas,Belize,11.07,4.5,21.19
Americas,Trinidad and Tobago,11.09,8.31,13.62
Americas,Trinidad and Tobago,11.09,8.46,13.47
Americas,Trinidad and Tobago,11.09,8.6,13.41
Americas,Belize,11.1,4.47,21.96
Americas,Belize,11.1,4.47,22.03
Americas,Belize,11.1,4.66,21.97
Americas,Haiti,11.13,6.21,20.35
Europe,France,11.24,11.02,11.46
Western Pacific,Japan,11.25,9.93,12.52
Europe,Lithuania,11.39,10.01,12.91
Europe,Netherlands (Kingdom of the),11.4,10.89,11.97
Africa,Mauritius,11.42,8.95,14.37
Europe,Germany,11.48,11.26,11.72
Americas,Suriname,11.56,6.61,18.5
Western Pacific,Singapore,11.57,7.17,16.59
Europe,Lithuania,11.59,10.52,12.64
Europe,Netherlands (Kingdom of the),11.6,11.23,11.98
Europe,Latvia,11.62,10.27,13.23
Europe,Germany,11.66,11.47,11.85
Americas,Cuba,11.67,7.79,17.27
Europe,Netherlands (Kingdom of the),11.76,11.38,12.16
Americas,Guyana,11.76,6.77,19.65
Europe,Lithuania,11.81,10.81,12.71
Africa,Namibia,11.9,6.29,18.89
Americas,Guyana,11.91,6.81,20.35
Americas,Brazil,12,10.34,14.3
Europe,Ukraine,12,9.13,16.08
Europe,Netherlands (Kingdom of the),12.01,11.67,12.3
Europe,Austria,12.05,11.77,12.34
Western Pacific,Japan,12.13,10.91,13.16
Europe,Latvia,12.15,10.92,13.71
Europe,Germany,12.15,11.95,12.37
Europe,Republic of Moldova,12.19,9.26,15.95
Europe,Belgium,12.2,11.61,12.72
Europe,Cyprus,12.23,10.26,14.37
Americas,Paraguay,12.26,8.26,19.22
Europe,France,12.27,12.04,12.52
Europe,Austria,12.28,11.94,12.68
Americas,Brazil,12.34,10.96,14.44
Africa,Kenya,12.34,7.47,17.3
Africa,Zimbabwe,12.36,6.69,21.28
Europe,Belgium,12.37,11.94,12.76
Americas,Guyana,12.38,6.94,21.75
Africa,Botswana,12.39,8.87,18.1
Europe,Republic of Moldova,12.43,9.48,16.19
Africa,Namibia,12.5,6.97,19.57
Europe,Republic of Moldova,12.51,9.54,16.17
Europe,Malta,12.52,10.73,14.73
Africa,Kenya,12.53,7.81,17.79
Western Pacific,Japan,12.54,11.63,13.37
Africa,Kenya,12.68,8.09,18.2
Africa,Botswana,12.69,9.17,18.47
Americas,Guyana,12.7,6.96,22.48
Europe,Belgium,12.72,12.3,13.11
Europe,Belarus,12.82,11.02,14.89
Americas,Argentina,12.83,10.18,15.71
Americas,Brazil,12.88,11.65,14.58
Western Pacific,Japan,12.88,12.05,13.67
Americas,Suriname,12.9,7.62,19.35
Europe,Republic of Moldova,12.9,9.76,16.98
Eastern Mediterranean,Morocco,12.99,10.13,16.96
Europe,Germany,13,12.81,13.24
Europe,Ukraine,13,9.39,18.77
Americas,Argentina,13.01,10.02,16.19
Africa,Zimbabwe,13.09,7.05,22.78
Europe,France,13.11,12.81,13.49
Africa,Zimbabwe,13.13,7.02,23.33
Africa,Namibia,13.14,6.66,22.14
Western Pacific,Japan,13.17,12.41,13.88
South-East Asia,Maldives,13.18,10.07,17.84
Europe,Greece,13.25,11.65,15.09
Americas,Paraguay,13.27,10.03,19.43
Europe,Malta,13.27,12.16,14.69
Europe,Austria,13.27,12.91,13.79
Europe,Malta,13.28,12.16,14.7
Europe,Ukraine,13.33,9.89,18.38
Eastern Mediterranean,Morocco,13.36,10.6,17.14
Europe,Malta,13.42,12.45,14.82
South-East Asia,Maldives,13.44,10.6,17.97
Americas,Suriname,13.5,8.03,20.73
Europe,Belgium,13.51,13.13,13.88
Americas,Paraguay,13.52,9.93,19.79
Eastern Mediterranean,Morocco,13.55,11.07,16.7
Europe,Italy,13.6,13.32,13.89
Eastern Mediterranean,Somalia,13.64,7.89,22.83
South-East Asia,Maldives,13.66,10.78,17.86
Europe,Cyprus,13.67,12.09,15.23
Europe,Cyprus,13.71,12.06,15.81
Africa,Botswana,13.74,10.11,19.38
Europe,Romania,13.76,12.95,14.46
Africa,Comoros,13.79,7.02,22.83
Eastern Mediterranean,Morocco,13.81,11.46,16.83
Americas,Suriname,13.81,8.2,21
Americas,Argentina,13.83,9.62,18.86
Europe,Republic of Moldova,13.85,10.17,18.79
Africa,Namibia,13.89,6.21,26.95
Americas,Panama,13.9,10.13,18.53
Americas,Argentina,13.93,10.47,18.2
Americas,Cuba,13.94,9.89,20.15
Eastern Mediterranean,Morocco,13.97,11.68,16.74
Africa,South Africa,13.98,11.74,15.97
Americas,Suriname,14.01,8.32,21.31
Europe,Belarus,14.03,12.16,16.18
Americas,Panama,14.04,10.26,17.85
Americas,Panama,14.05,9.98,18.23
Americas,Panama,14.12,10.13,17.89
Africa,Comoros,14.15,7.29,22.86
Africa,Comoros,14.16,7.29,22.88
Europe,Austria,14.23,13.68,15.1
Africa,Botswana,14.24,10.4,20.09
Africa,Comoros,14.27,7.38,22.97
Africa,Eswatini,14.29,10.01,18.84
South-East Asia,Maldives,14.32,11.11,19.51
Africa,Kenya,14.32,8.17,20.49
Europe,Ukraine,14.33,10.6,20.27
Americas,Paraguay,14.37,10.98,20.14
Eastern Mediterranean,Somalia,14.38,7.61,24.55
Americas,Panama,14.39,10.54,19.9
Eastern Mediterranean,Somalia,14.4,7.6,24.55
Europe,Latvia,14.41,13.01,16.28
Americas,Cuba,14.47,10.58,20.35
Africa,Zimbabwe,14.48,7.18,26.78
Africa,Comoros,14.5,7.56,23.17
Eastern Mediterranean,Somalia,14.51,7.13,27.93
South-East Asia,Maldives,14.53,11.43,19.25
Africa,Eswatini,14.58,10.16,19.26
Africa,Botswana,14.58,10.2,20.7
Europe,Cyprus,14.6,13.32,15.85
Americas,Paraguay,14.67,11.15,20.28
Africa,United Republic of Tanzania,14.74,9.89,21.92
Europe,Belarus,14.78,12.57,16.91
Europe,Romania,14.78,13.86,15.73
Americas,Jamaica,14.84,11.57,17.61
Americas,Argentina,14.85,10.22,20.51
Europe,Romania,14.85,14.13,15.49
Africa,Zimbabwe,14.99,7.19,28.19
Europe,Ukraine,15,11.1,21.33
Eastern Mediterranean,Somalia,15.01,6.87,29.95
Americas,Jamaica,15.03,12.4,17.62
Europe,Greece,15.04,13.13,16.92
Africa,Eswatini,15.17,10.46,20.22
Europe,Greece,15.17,14.01,16.35
Europe,Hungary,15.28,14.24,16.36
Africa,Madagascar,15.38,10.09,22.89
Europe,Cyprus,15.38,14.43,16.38
Africa,Eswatini,15.4,10.59,20.74
Western Pacific,Singapore,15.48,12.03,20.46
Western Pacific,Singapore,15.48,12.03,20.46
Western Pacific,Singapore,15.48,12.03,20.46
Europe,Italy,15.53,15.23,15.86
Africa,United Republic of Tanzania,15.6,11.04,23.1
Europe,Czechia,15.68,15.15,16.37
Africa,Eswatini,15.8,10.82,21.83
Europe,Italy,15.82,15.59,16.07
Americas,Colombia,15.86,12.92,18.96
Europe,Romania,15.89,15.2,16.6
Americas,Colombia,15.94,13.2,19.09
Europe,Slovenia,15.97,14.75,17.25
Americas,Jamaica,15.98,13.1,18.52
Europe,Hungary,15.99,15.12,17.16
Europe,Latvia,16.04,14.66,18.08
Africa,Mozambique,16.04,7.82,26.28
Africa,United Republic of Tanzania,16.08,10.68,23.2
Europe,Greece,16.13,15.22,17.1
Africa,Mozambique,16.16,8.29,25.86
Europe,Hungary,16.18,15.32,17.13
Africa,United Republic of Tanzania,16.35,11.7,23.89
Europe,Italy,16.39,16.14,16.63
Africa,Mozambique,16.43,8.46,26.13
Europe,Belarus,16.46,14.15,19.03
Africa,Madagascar,16.52,11.08,24.8
Africa,United Republic of Tanzania,16.55,10.9,25.14
Africa,Zambia,16.55,7.74,31.23
Europe,Czechia,16.62,16.15,17.16
Africa,South Africa,16.65,15.08,18.83
Europe,Greece,16.65,15.8,17.56
Europe,Slovenia,16.74,15.85,17.77
Europe,Slovenia,16.74,15.93,17.83
Americas,Ecuador,16.78,13.94,20.04
Europe,Belarus,16.79,14.38,19.53
Americas,Costa Rica,16.82,13.61,20.53
Americas,Ecuador,16.83,13.71,20.5
Africa,Lesotho,16.84,11.36,25.05
Europe,Hungary,16.85,15.96,17.74
Europe,Romania,16.89,16.33,17.4
Americas,Colombia,16.9,14.2,19.92
Americas,Jamaica,16.98,14.45,19.28
Africa,Madagascar,17.13,11.58,25.93
Americas,Ecuador,17.17,14.78,20.41
