ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Europe,Norway,9.66,9.16,10.05
Americas,United States of America,9.73,9.59,9.87
Americas,Belize,9.79,4.02,19.6
Americas,Haiti,9.79,5.34,16.59
Americas,Belize,9.8,4.04,19.96
Americas,Belize,9.8,4.04,20
Americas,Belize,9.82,4.07,20.16
Americas,Belize,9.89,4.13,21.38
Americas,Suriname,9.93,5.4,16.86
Africa,Mauritius,9.95,7.89,12.37
Africa,Kenya,9.98,6.31,13.64
Africa,Mauritius,10,7.93,12.42
Americas,Suriname,10.13,5.48,17.08
Europe,Russian Federation,10.27,8.01,12.87
Americas,Haiti,10.32,5.61,18.2
Europe,United Kingdom of Great Britain and Northern Ireland,10.43,9.96,11.14
Americas,Guyana,10.49,5.33,16.06
Europe,Andorra,10.53,8.69,12.72
Europe,Ireland,10.53,9.66,11.35
Europe,Ireland,10.54,9.92,10.95
Europe,Portugal,10.55,10.15,10.87
Europe,Ireland,10.55,9.99,11.11
Africa,Mauritius,10.57,8.21,13.37
Africa,Mauritius,10.6,8.42,12.99
